cohort.a	cohort.b
125.884697616419	126.172030732617
125.879577517951	124.945045212568
125.304211548523	125.688530305129
126.757445419425	125.784352893221
124.114477169413	127.539197540981
126.904797063978	125.165056926089
123.750849007123	124.938250393166
123.226474374263	125.808515949451
124.311939567425	126.714983672696
125.373143583753	126.298236955012
125.050682051259	126.064508535526
124.885997841149	124.031301663559
124.749664329248	123.790768270017
124.919287195106	124.772779338261
125.149102331676	125.034692535773
124.24317722841	126.11410647732
123.455032581806	127.230748174031
125.095663906425	126.536534919849
127.1600325726	124.22250702098
123.147279732428	126.183134813384
125.406435708367	126.819450289268
124.556733086986	126.264986377422
125.768995597216	126.217828099952
124.039281505378	126.430621823425
125.567862031847	126.212058599402
123.848313054702	124.545524540092
125.603178151571	126.084547808841
125.944661835942	125.417967771667
125.583616614533	126.185574729949
126.557039779677	126.256667631518
124.389417294734	125.133300580201
124.88808281715	125.747147337921
123.905155706491	126.155728328786
125.205267207555	123.104767284737
126.023707117454	125.004446024046
124.205584534716	126.382231585249
125.913025609354	125.688205807699
127.051974187423	125.594032234919
123.767840142506	126.406599186378
125.404084871913	125.146579932619
126.727016958875	127.648022141806
124.997815292819	125.349272695855
125.282758649545	124.393210884991
125.065158185972	126.755991500825
125.089393195697	126.419180024314
123.242426736515	125.155808440089
125.634044830038	125.376249264888
126.122354468828	126.796301256472
124.193926940611	125.900109385863
125.43309247394	124.422515047582
124.049312835886	124.055583101026
126.162297498545	125.302028150627
125.775000640709	125.851457975355
125.757440227614	125.98140106134
125.210319449345	124.517764020599
124.75056677355	124.892211545591
126.185974832407	124.74844486298
126.191340492853	124.688491300913
125.303494150984	127.864221322548
125.138365245625	126.590686623338
124.975310151454	125.745065376729
124.982487812182	123.612948008475
124.455441237335	126.830643113687
123.085399404633	125.194018912273
124.674253082986	125.26578685277
125.521434798394	125.391861947247
124.246457738245	125.854406673854
124.540202449141	125.200551523731
NA	126.557309955288
NA	126.252881697351
NA	125.275605155359
NA	126.272943002808
NA	124.68638772815
NA	125.734262991985
NA	125.725814732141
NA	127.271112758614
NA	126.391852108327
NA	125.273448683392
NA	127.918924032138
NA	123.635522573981
NA	125.506287159406
NA	126.172406981496
NA	127.052024708219
NA	123.994054580101
NA	124.822063414245
NA	125.390712057888
NA	124.326412417329
NA	126.857493137724
NA	124.559070370791
NA	125.74754035579
NA	125.669123259773
NA	125.156703427287
NA	124.778768621367
NA	127.232262531123
NA	125.556537842322
NA	125.316640295162
NA	126.878984157786
NA	125.40222304694
NA	125.660234912815
NA	124.998835110094
NA	125.653668884096
NA	125.758770055495
NA	124.535335105945
NA	125.190169835911
NA	124.523992530793
NA	124.61361679053
NA	125.952567048943
NA	125.156447975143
NA	126.119863442128
NA	126.809274353759
NA	124.825301589211
NA	127.392307260163
NA	125.568720833263
NA	125.999511495212
NA	125.364923087971
NA	124.669066046635
NA	124.194884561301
NA	125.445514342251
NA	125.736196977644
NA	125.387654777276
NA	125.179287714282
NA	126.579816136111
NA	124.892656819344
NA	124.745647877104
NA	125.120783423649
NA	125.570685340144
NA	125.685835423239
NA	124.376686168235
NA	124.996593630085
NA	126.313829819677
NA	126.133050722411
NA	125.585771661695
NA	125.421057063058
NA	126.134236186956
NA	126.161134947332
NA	124.846703187419
NA	126.371157150113
NA	124.749351725114
NA	123.321231846885
NA	125.563059080401
NA	126.240484615249
NA	124.672025808578
NA	125.847912625568
NA	124.969991602793
NA	125.883783916375
NA	125.826759656011
NA	124.646512836255
NA	127.35740178943
NA	126.588524523203
NA	125.113808961334
NA	124.260053856548
NA	125.096626904594
NA	127.292931276481
NA	125.784736126327
NA	126.519469329802
NA	126.944741281714
NA	125.012660160369
NA	125.656291147615
NA	126.002387595974
NA	128.24020442037
NA	125.434686335493
NA	126.129150026787
NA	125.987717732319
NA	124.765059198582
NA	123.184623457512
NA	125.984237861608
NA	125.587461427795
NA	123.946213581145
